level	totalExp	totalCost	hp	friendCount
等级	总经验	Cost值	血量	好友数量
1	0	13	1000	20
2	120	16	1070	20
3	400	19	1140	20
4	780	22	1210	20
5	1360	25	1280	22
6	2330	28	1350	22
7	3790	31	1420	22
8	5720	34	1490	22
9	8720	37	1560	24
10	12920	40	1630	24
11	18100	43	1800	24
12	24420	46	1880	24
13	32120	49	1960	24
14	41420	52	2040	24
15	52500	55	2120	26
16	65900	58	2200	26
17	81800	61	2280	26
18	100600	64	2360	26
19	122700	67	2440	26
20	148700	70	2520	28
21	179000	72	2800	28
22	214200	74	2890	28
23	254900	76	2980	28
24	301700	78	3070	28
25	355300	80	3160	30
26	416600	82	3250	30
27	486200	84	3340	30
28	564900	86	3430	30
29	653500	88	3520	30
30	752900	90	3610	32
31	864000	92	4000	32
32	987600	94	4100	32
33	1124400	96	4200	32
34	1275500	98	4300	32
35	1441400	100	4400	34
36	1623000	102	4500	34
37	1281000	104	4600	34
38	2035900	106	4700	34
39	2268500	108	4800	34
40	2519200	110	4900	34
41	2788300	112	5400	36
42	3077100	114	5510	36
43	3386900	116	5620	36
44	3718900	118	5730	36
45	4074600	120	5840	38
46	4455400	122	5950	38
47	4863000	124	6060	38
48	5299100	126	6170	38
49	5765300	128	6280	38
50	6263700	130	6390	40
51	6796100	131	7000	40
52	7364600	132	7120	40
53	7971700	133	7240	40
54	8619400	134	7360	40
55	9310500	135	7480	42
56	10047400	136	7600	42
57	10833100	137	7720	42
58	11670400	138	7840	42
59	12562600	139	7960	42
60	13512800	140	8080	44
61	14524700	141	8800	44
62	15601800	142	8930	44
63	16748300	143	9060	44
64	17968000	144	9190	44
65	19265600	145	9320	46
66	20645500	146	9450	46
67	22112700	147	9580	46
68	23672400	148	9710	46
69	25330000	149	9840	46
70	27091300	150	9970	46
71	28962500	151	10800	48
72	30949900	152	10940	48
73	33060400	153	11080	48
74	35301200	154	11220	48
75	37679900	155	11360	50
76	40204700	156	11500	50
77	42883900	157	11640	50
78	45726500	158	11780	50
79	48742200	159	11920	50
80	51940800	160	12060	52
81	55332900	161	13000	52
82	58929800	162	13150	52
83	62743300	163	13300	52
84	66785700	164	13450	52
85	71070300	165	13600	54
86	75611000	166	13750	54
87	80422500	167	13900	54
88	85520200	168	14050	54
89	90920500	169	14200	54
90	96640700	170	14350	56
91	102699000	171	15400	56
92	109114700	172	15560	56
93	115908000	173	15720	56
94	123100400	174	15880	56
95	130714600	175	16040	58
96	138774300	176	16200	58
97	147304900	177	16360	58
98	156332800	178	16520	58
99	165886200	179	16680	58
100	175994700	180	16840	60
