templateID	headPicID	maxHP	cardList	name	lv	needMobility
模板ID	头像资源ID	最大血量	卡组	名称	等级	消耗行动力
1		5000	1_10,2_10,3_10,4_10,5_10	桃园结义1	1	2
2		5500	4_10,5_10,6_10,7_10,8_10	桃园结义2	1	2
3		6000	7_10,8_10,9_10,10_10,11_10	桃园结义3	1	2
4		6500	10_10,11_10,12_10,13_10,14_10	桃园结义4	1	2
5		7000	13_10,14_10,15_10,16_10,17_10	桃园结义5	1	2
6		7500	16_10,17_10,18_10,19_10,20_10	赤壁之战1	1	2
7		8000	19_10,20_10,21_10,22_10,23_10	赤壁之战2	2	2
8		8500	22_10,23_10,24_10,25_10,26_10	赤壁之战3	1	2
9		9000	25_10,26_10,27_10,28_10,29_10	赤壁之战4	1	2
10		10000	26_10,27_10,28_10,29_10,30_10	赤壁之战5	1	2
