id	templateID	name	effectPath	discription	skillType	priority	selectTargetType	param1	param2	param3	buffID																			
技能ID	模板ID	名称	资源路径	描述	技能类型	优先级	技能选择类型	技能参数1	技能参数2	技能参数3	0																			
1	99	攻击	assets/effects/normalattack.fam	普通攻击	0	0	1	0	0	0	0																			
2	100	阻击	assets/effects/normalattack.fam	造成HP最少的卡牌150点伤害	1	0	5	150	0	0	0																			
3	101	烈焰风暴	assets/effects/normalattack.fam	对方所有卡牌受到100-300点伤害	1	0	7	100	300	0	0																			
4	200	横扫	assets/effects/normalattack.fam	普通攻击时同时攻击对面左右三个目标	0	1	2	0	0	0	0																			
5	201	暴击	assets/effects/normalattack.fam	攻击时有50%概率提升100%攻击力	2	0	0	50	100	0	0																			
6	202	格挡	assets/effects/normalattack.fam	受到普通攻击时,减少100点伤害	2	0	0	100	0	0	0																			
7	203	反射	assets/effects/normalattack.fam	魔法伤害无效,并对攻击方造成100点伤害	2	0	0	100	0	0	0																			
8	100	暴风雪	assets/effects/normalattack.fam	对方所有卡牌受到100点伤害，30%概率下一回合无法行动	1	0	7	100	30	0	100																			
9	104	回春	assets/effects/jxxg.fam	每回合恢复150点生命值	1	0	0	150	0	0	0																			
10	100	连环闪电	assets/effects/normalattack.fam	对方三张卡牌受到120伤害,35%概率无法普通攻击	1	0	4	120	35	0	101																			
11	100	毒雾	assets/effects/normalattack.fam	对方三张卡牌受到80点伤害，并在行动结束后受到80点伤害	1	0	4	80	80	0	102																			
12	102	血炼	assets/effects/normalattack.fam	对方一张卡牌受到100点伤害，并且自身恢复相同的生命值	1	0	3	100	0	0	0																			
13	100	陷阱	assets/effects/normalattack.fam	对方一张卡牌65%概率下回合不能行动	1	0	3	0	65	0	100																			
14	103	群体削弱	assets/effects/normalattack.fam	降低对方所有卡牌30点攻击力	1	0	7	30	0	0	0																			
15	104	治疗	assets/effects/jxxg.fam	恢复我方生命值最低的卡牌150点生命值	1	0	9	150	0	0	0																			
16	104	甘霖	assets/effects/normalattack.fam	恢复我方全体卡牌100点生命值	1	0	10	100	0	0	0																			
17	204	闪避	assets/effects/normalattack.fam	受攻击时50%概率闪避	2	0	0	50	0	0	0																			
18	205	冰甲	assets/effects/normalattack.fam	受到物理攻击时，最多受到150点伤害	2	0	0	150	0	0	0																			
19	206	魔甲	assets/effects/normalattack.fam	受到技能攻击时，最多受到80点伤害	2	0	0	80	0	0	0																			
20	207	免疫	assets/effects/normalattack.fam	不受任何技能造成的伤害和影响	2	0	0	0	0	0	0																			
21	208	吸血	assets/effects/normalattack.fam	攻击造成物理伤害时，恢复伤害60%的生命值	2	0	0	60	0	0	0																			
22	209	穿刺	assets/effects/normalattack.fam	对敌方卡牌造成伤害时，敌方英雄同时受到100%的伤害	2	0	0	100	0	0	0																			
23	210	反击	assets/effects/normalattack.fam	受到物理攻击时，立刻反击造成200点伤害 	2	0	0	200	0	0	0																			
24	211	狂热	assets/effects/normalattack.fam	被攻击时提升40点攻击力  	2	0	0	40	0	0	0																			
25	212	嗜血	assets/effects/normalattack.fam	每次攻击对方造成伤害时，提升40点攻击力  	2	0	0	40	0	0	0																			
26	213	削弱	assets/effects/normalattack.fam	当对对方造成物理伤害时，减少对方40点攻击力 	2	0	0	40	0	0	0																			
27	214	背刺	assets/effects/normalattack.fam	出场回合额外增加200点攻击力	2	0	0	200	0	0	0																			
28	215	自爆	assets/effects/normalattack.fam	被消灭时，对对面以及相邻三张卡牌造成150点伤害	2	0	2	150	0	0	0																			
29	216	王国之力	assets/effects/normalattack.fam	提升除自己之外所有王国卡牌150点攻击力	2	0	11	150	0	0	0																			
30	217	王国守护	assets/effects/jxxg.fam	提升除自己之外所有王国卡牌300点生命值	2	0	11	300	0	0	0																			
31	218	转生	assets/effects/jxxg.fam	死亡时有60%概率进入等待区	2	0	0	60	0	0	0																			
