templateID	name	baseHP	growUpHP	baseACK	growUpACK	defense	maxWaitRound	normolAttID	skill1ID	skill1Para	skill2ID	skill2Para	skill3ID	skill3Para	starLv	country	cost
模板ID	名称	基础血量	成长血量	基础攻击	成长攻击	防御	等待回合	普通攻击	技能1	技能1参数	技能2	技能2参数	技能3	技能3参数	卡牌星级	势力	cost值
1	夜叉行	300	36	85	10	0	2	1	0	0	33	2	14	1	1	1	3
2	长枪兵	330	15	95	16	0	2	1	24	1	33	3	48	4	1	1	4
3	元戎弩	370	8	110	18	0	2	1	0	0	22	4	6	2	1	1	3
4	骠刀骑	360	21	105	15	0	2	1	0	0	14	1	44	4	1	1	5
5	陈到	500	15	155	21	0	2	1	0	0	25	3	6	2	2	1	6
6	周仓	520	15	160	22	0	4	1	0	0	27	3	30	0	2	1	6
7	孙乾	460	36	125	15	0	4	1	54	3	33	6	55	5	2	1	8
8	糜竺	400	34	110	16	0	2	1	56	3	33	4	37	3	2	1	5
9	王平	520	20	110	15	0	4	1	24	3	22	5	47	3	2	1	6
10	关兴	620	25	180	20	0	4	1	25	2	41	2	45	5	3	1	9
11	关平	780	25	200	23	0	4	1	64	0,14,1	48	5	46	7	3	1	10
12	马岱	620	37	140	20	0	2	1	2	2	42	4	3	5	3	1	10
13	蒋琬	650	30	185	21	0	4	1	33	3	6	4	37	4	3	1	8
14	费祎	560	21	135	24	0	4	1	3	2	64	0,4,3	6	6	3	1	8
15	马谡	650	30	195	19	0	4	1	64	0,7,2	57	4	41	3	3	1	11
16	廖化	750	31	175	22	0	2	1	56	5	33	7	49	4	3	1	11
17	法正	550	40	130	16	0	4	1	9	2	64	0,10,4	17	4	3	1	8
18	张苞	600	20	170	30	0	4	1	17	3	41	2	33	5	3	1	9
19	魏延	540	32	170	24	0	4	1	25	2	22	5	30	0	3	1	11
20	黄忠	880	23	235	28	0	4	1	48	7	25	5	37	5	4	1	12
21	黄月英	800	66	175	15	0	4	1	56	7	55	6	49	5	4	1	13
22	赵云	1100	30	360	30	0	6	1	58	0	33	6	41	6	4	1	14
23	诸葛亮	790	37	210	24	0	6	1	33	6	3	5	58	0	4	1	11
24	徐庶	990	58	290	18	0	6	1	27	4	41	4	53	7	4	1	13
25	马超	815	18	260	30	0	4	1	25	4	28	5	47	8	4	1	12
26	庞统	820	50	220	12	0	4	1	47	3	64	0,58,0	18	8	4	1	11
27	姜维	840	20	240	22	0	4	1	42	5	37	5	3	8	4	1	13
28	关羽	900	35	290	27	0	4	1	25	4	58	0	49	6	4	1	13
29	张飞	780	27	255	22	0	6	1	33	6	53	7	42	3	4	1	13
30	刘备	1450	28	350	28	0	6	1	47	5	30	0	58	0	5	1	14
31	虎卫军	310	8	105	18	0	4	1	0	0	34	3	26	4	1	2	4
32	虎豹骑	270	6	85	19	0	2	1	57	2	26	2	48	4	1	2	5
33	霹雳车	400	20	100	15	0	4	1	0	0	20	1	57	4	1	2	4
34	青州兵	290	7	90	20	0	2	1	0	0	27	2	26	6	1	2	3
35	钟会	470	11	105	23	0	2	1	2	2	8	4	34	7	2	2	7
36	曹彰	400	15	105	22	0	2	1	5	2	16	4	57	4	2	2	6
37	李典	480	16	135	22	0	4	1	31	5	13	5	38	3	2	2	7
38	邓艾	500	15	160	15	0	4	1	0	0	12	3	9	5	2	2	6
39	乐进	370	36	100	14	0	2	1	34	3	44	3	57	5	2	2	5
40	曹丕	520	23	115	24	0	2	1	2	4	65	4	57	7	3	2	8
41	曹洪	590	8	165	29	0	2	1	47	3	28	3	25	7	3	2	9
42	蔡文姬	560	30	130	21	0	4	1	9	2	16	5	18	4	3	2	9
43	夏侯渊	760	14	180	25	0	4	1	28	2	41	2	53	5	3	2	11
44	于禁	700	14	170	27	0	4	1	44	4	31	7	38	4	3	2	8
45	杨修	570	24	165	23	0	4	1	64	0,21,3	34	6	22	7	3	2	8
46	荀攸	650	25	180	24	0	4	1	64	0,15,1	46	4	41	6	3	2	9
47	徐晃	785	11	200	28	0	4	1	34	3	21	5	50	4	3	2	10
48	张春华	700	26	180	23	0	4	1	47	2	34	6	14	1	3	2	9
49	曹仁	630	25	180	18	0	4	1	64	0,16,8	50	5	16	6	3	2	10
50	司马懿	870	23	230	28	0	6	1	16	6	15	2	64	0,62,0	4	2	12
51	甄姬	700	22	195	29	0	4	1	0	3	16	8	67	0	4	2	12
52	张辽	850	15	250	26	0	4	1	59	1	25	5	57	6	4	2	13
53	许褚	900	19	225	30	0	4	1	34	6	31	6	50	5	4	2	13
54	郭嘉	850	40	240	35	0	6	1	9	5	34	8	38	5	4	2	11
55	典韦	1250	26	295	25	0	6	1	19	3	53	6	41	5	4	2	14
56	张郃	950	50	225	18	0	4	1	46	3	29	0	18	8	4	2	12
57	夏侯惇	700	18	160	44	0	6	1	2	5	38	4	64	0,60,0	4	2	12
58	贾诩	880	30	240	26	0	6	1	34	6	38	6	66	0	4	2	14
59	荀彧	720	25	220	24	0	4	1	13	6	47	6	57	6	4	2	13
60	曹操	1250	34	350	34	0	6	1	25	6	29	0	58	0	5	2	14
61	重装水兵	400	16	100	16	0	4	1	0	0	48	3	44	4	1	3	5
62	龙飞卫	270	22	90	14	0	2	1	54	2	54	3	47	2	1	3	3
63	银翎飞骑	260	20	110	26	0	2	1	0	0	35	4	26	3	1	3	3
64	车绞弩	280	27	85	12	0	2	1	53	1	8	2	47	1	1	3	4
65	董袭	510	28	140	17	0	4	1	35	4	24	5	22	4	2	3	7
66	潘璋	385	20	105	24	0	2	1	22	2	35	5	22	5	2	3	5
67	蒋钦	450	33	110	16	0	4	1	2	2	2	4	39	3	2	3	7
68	祖茂	580	20	150	19	0	4	1	0	0	14	1	48	5	2	3	6
69	朱桓	390	42	100	12	0	2	1	8	3	64	0,55,5	8	7	2	3	6
70	徐盛	540	39	125	18	0	4	1	22	3	25	5	22	7	3	3	8
71	孙坚	730	52	185	15	0	4	1	24	3	22	5	35	8	3	3	11
72	诸葛瑾	680	28	180	23	0	4	1	54	4	35	6	6	6	3	3	9
73	程普	645	41	140	18	0	4	1	5	2	64	0,7,5	47	6	3	3	10
74	周泰	555	42	125	20	0	2	1	8	4	17	3	53	5	3	3	8
75	黄盖	800	39	215	18	0	4	1	64	0,55,5	48	5	53	6	3	3	10
76	丁奉	600	20	150	20	0	4	1	8	5	51	5	43	3	3	3	8
77	张昭	620	30	160	15	0	4	1	55	3	51	4	55	7	3	3	9
78	韩当	620	23	170	18	0	4	1	53	4	6	4	45	6	3	3	11
79	鲁肃	620	22	125	24	0	4	1	6	2	54	5	51	4	3	3	9
80	孙策	980	36	215	24	0	6	1	14	1	48	8	53	7	4	3	12
81	小乔	800	39	195	23	0	4	1	8	4	55	6	10	6	4	3	12
82	太史慈	780	48	200	20	0	4	1	5	4	57	6	47	8	4	3	13
83	陆逊	810	55	220	19	0	4	1	2	4	35	7	4	7	4	3	11
84	吕蒙	1290	30	270	20	0	6	1	35	6	41	4	39	5	4	3	13
85	大乔	900	30	215	15	0	6	1	64	0,61,0	67	0	39	5	4	3	14
86	孙尚香	680	21	230	15	0	4	1	55	4	47	4	58	0	4	3	12
87	甘宁	1290	30	270	20	0	4	1	25	5	35	6	47	5	4	3	13
88	凌统	820	40	240	25	0	4	1	35	6	6	7	53	8	4	3	14
89	周瑜	790	25	225	25	0	4	1	54	5	51	5	15	1	4	3	11
90	孙权	1480	23	355	30	0	6	1	25	6	48	8	58	0	5	3	14
91	大戟士	360	20	95	15	0	4	1	0	0	44	3	27	5	1	4	5
92	藤甲兵	280	17	75	16	0	2	1	11	1	14	1	25	4	1	4	3
93	西凉铁骑	275	6	95	19	0	2	1	31	2	36	3	12	3	1	4	4
94	先登死士	310	18	90	15	0	2	1	0	0	14	1	6	3	1	4	3
95	淳于琼	490	13	135	23	0	2	1	31	4	36	4	47	3	2	4	6
96	张任	450	18	110	24	0	4	1	11	2	32	2	40	3	2	4	5
97	张松	510	7	135	24	0	4	1	48	1	44	4	53	5	2	4	7
98	高顺	440	10	135	24	0	2	1	36	4	28	2	32	6	2	4	5
99	郭图	420	15	170	20	0	2	1	36	3	20	2	11	5	2	4	6
100	祝融	685	20	140	26	0	4	1	12	2	36	7	15	1	3	4	10
101	韩遂	720	17	175	25	0	2	1	48	2	27	5	53	5	3	4	8
102	陈宫	650	39	125	19	0	4	1	3	2	17	3	40	4	3	4	9
103	华雄	730	9	205	28	0	4	1	64	0,18,3	26	4	25	7	3	4	9
