templateID	headPicID	maxHP	cardList	name	lv	needMobility
模板ID	头像资源ID	最大血量	卡组	名称	等级	消耗行动力
1		1210	1_2,1_2	乱世之志	4	2
2		1210	1_2,1_2	乱世之志	4	2
3		1210	1_2,1_2	乱世之志	4	2
4		1210	1_2,1_2,2_2	桃园结义	4	2
5		1210	1_2,1_2,2_2	桃园结义	4	2
6		1210	1_2,1_2,2_2	桃园结义	4	2
7		1210	1_2,2_2,3_2	温酒斩华雄	4	2
8		1210	1_2,2_2,3_2	温酒斩华雄	4	2
9		1210	1_2,2_2,3_2	温酒斩华雄	4	2
10		1210	1_2,2_2,3_2,4_2	三英战吕布	4	2
11		1210	1_2,2_2,3_2,4_2	三英战吕布	4	2
12		1210	1_2,2_2,3_2,4_2	三英战吕布	4	2
13		1210	2_2,3_2,4_2,5_2	美人离间	4	2
14		1210	2_2,3_2,4_2,5_2	美人离间	4	2
15		1210	2_2,3_2,4_2,5_2	美人离间	4	2
16		1210	1_3,2_2,3_3,4_2,6_3	奸臣覆灭	5	2
17		1210	1_3,2_2,3_3,4_2,6_3	奸臣覆灭	5	2
18		1210	1_3,2_2,3_3,4_2,6_3	奸臣覆灭	5	2
19		1280	31_2,32_2,33_2,34_2,35_2	徐州之战	5	2
20		1280	31_2,32_2,33_2,34_2,35_2	徐州之战	5	2
21		1280	31_2,32_2,33_2,34_2,35_2	徐州之战	5	2
22		1280	31_2,32_3,33_2,34_3,36_4	孙策立业	5	2
23		1280	31_2,32_3,33_2,34_3,36_4	孙策立业	5	2
24		1280	31_2,32_3,33_2,34_3,36_4	孙策立业	5	2
25		1280	61_3,62_3,63_3,64_3,65_4	辕门射戟	5	2
26		1280	61_3,62_3,63_3,64_3,65_4	辕门射戟	5	2
27		1280	61_3,62_3,63_3,64_3,65_4	辕门射戟	5	2
28		1280	62_4,63_4,64_4,66_3,67_3	宛城之战	5	2
29		1280	62_4,63_4,64_4,66_3,67_3	宛城之战	5	2
30		1280	62_4,63_4,64_4,66_3,67_3	宛城之战	5	2
31		1350	91_4,92_4,94_4,95_4,96_4	吕布之死	6	2
32		1350	91_4,92_4,94_4,95_4,96_4	吕布之死	6	2
33		1350	91_4,92_4,94_4,95_4,96_4	吕布之死	6	2
34		1420	91_4,92_5,93_4,94_5,100_4	放虎归山	7	2
35		1420	91_4,92_5,93_4,94_5,100_4	放虎归山	7	2
36		1420	91_4,92_5,93_4,94_5,100_4	放虎归山	7	2
37		1420	1_5,3_2,4_4,7_3,8_4	袁术覆灭	7	2
38		1420	1_5,3_2,4_4,7_3,8_4	袁术覆灭	7	2
39		1420	1_5,3_2,4_4,7_3,8_4	袁术覆灭	7	2
40		1490	31_5,32_3,34_3,38_5,39_4	袁曹起兵	8	2
41		1490	31_5,32_3,34_3,38_5,39_4	袁曹起兵	8	2
42		1490	31_5,32_3,34_3,38_5,39_4	袁曹起兵	8	2
43		1560	61_3,62_2,63_3,64_4,66_4,67_5	千里走单骑	9	2
44		1560	61_3,62_2,63_3,64_4,66_4,67_5	千里走单骑	9	2
45		1560	61_3,62_2,63_3,64_4,66_4,67_5	千里走单骑	9	2
46		1630	92_5,93_5,94_6,96_2,97_4,98_5	古城相会	10	2
47		1630	92_5,93_5,94_6,96_2,97_4,98_5	古城相会	10	2
48		1630	92_5,93_5,94_6,96_2,97_4,98_5	古城相会	10	2
49		1800	33_8,34_8,37_6,38_5,40_4	孙策之死	11	2
50		1800	33_8,34_8,37_6,38_5,40_4	孙策之死	11	2
51		1800	33_8,34_8,37_6,38_5,40_4	孙策之死	11	2
52		1880	95_4,96_5,97_4,98_3,99_5,101_5	官渡之战1	12	2
53		1880	95_4,96_5,97_4,98_3,99_5,101_5	官渡之战1	12	2
54		1880	95_4,96_5,97_4,98_3,99_5,101_5	官渡之战1	12	2
55		1960	1_10,4_10,6_7,7_6,8_6,9_8,19_5	官渡之战2	13	2
56		1960	1_10,4_10,6_7,7_6,8_6,9_8,19_5	官渡之战2	13	2
57		1960	1_10,4_10,6_7,7_6,8_6,9_8,19_5	官渡之战2	13	2
58		2040	66_7,67_6,68_7,69_6,73_5,75_6	荆州之险	14	2
59		2040	66_7,67_6,68_7,69_6,73_5,75_6	荆州之险	14	2
60		2040	66_7,67_6,68_7,69_6,73_5,75_6	荆州之险	14	2
61		2120	3_10,5_10,6_8,7_6,9_8,12_8,18_5	回马荐诸葛	15	2
62		2120	3_10,5_10,6_8,7_6,9_8,12_8,18_5	回马荐诸葛	15	2
63		2120	3_10,5_10,6_8,7_6,9_8,12_8,18_5	回马荐诸葛	15	2
64		2200	31_10,35_10,36_8,37_6,38_8,42_8,49_5	三顾茅庐	16	2
65		2200	31_10,35_10,36_8,37_6,38_8,42_8,49_5	三顾茅庐	16	2
66		2200	31_10,35_10,36_8,37_6,38_8,42_8,49_5	三顾茅庐	16	2
67		2280	32_10,36_9,39_9,43_6,45_7,47_8,48_6	火烧新野	17	2
68		2280	32_10,36_9,39_9,43_6,45_7,47_8,48_6	火烧新野	17	2
69		2280	32_10,36_9,39_9,43_6,45_7,47_8,48_6	火烧新野	17	2
70		2360	3_10,7_10,8_8,10_5,11_8,17_8,18_9	携民渡江	18	2
71		2360	3_10,7_10,8_8,10_5,11_8,17_8,18_9	携民渡江	18	2
72		2360	3_10,7_10,8_8,10_5,11_8,17_8,18_9	携民渡江	18	2
73		2440	33_10,37_9,40_8,41_6,44_7,46_8,49_6	长坂坡之战	19	2
74		2440	33_10,37_9,40_8,41_6,44_7,46_8,49_6	长坂坡之战	19	2
75		2440	33_10,37_9,40_8,41_6,44_7,46_8,49_6	长坂坡之战	19	2
76		2520	32_10,34_10,35_9,41_5,42_8,45_7,48_8,49_6	七进七出	20	2
77		2520	32_10,34_10,35_9,41_5,42_8,45_7,48_8,49_6	七进七出	20	2
78		2520	32_10,34_10,35_9,41_5,42_8,45_7,48_8,49_6	七进七出	20	2
79		2800	61_10,65_10,66_5,69_8,72_8,75_6,76_6,79_8	舌战群儒	21	2
80		2800	61_10,65_10,66_5,69_8,72_8,75_6,76_6,79_8	舌战群儒	21	2
81		2800	61_10,65_10,66_5,69_8,72_8,75_6,76_6,79_8	舌战群儒	21	2
82		2890	64_10,66_6,67_8,68_10,70_5,73_8,74_7,75_8	智激周瑜	22	2
83		2890	64_10,66_6,67_8,68_10,70_5,73_8,74_7,75_8	智激周瑜	22	2
84		2890	64_10,66_6,67_8,68_10,70_5,73_8,74_7,75_8	智激周瑜	22	2
85		2980	30_10,35_6,36_6,39_8,41_5,43_8,44_8,47_6	草船借箭	23	2
86		2980	30_10,35_6,36_6,39_8,41_5,43_8,44_8,47_6	草船借箭	23	2
