id	templateID	name	effectPath	discription	skillType	magicType	priority	selectTargetType	param1	param2	param3	buffID
技能ID	模板ID	名称	资源路径	描述	技能类型	魔法技能	优先级	技能选择类型	技能参数1	技能参数2	技能参数3	buffID
1	99	攻击	assets/effects/putonggongji.fam	普通攻击	0	0	0	1	0	0	0	0
2	101	火球	assets/effects/huoqiu.fam	使敌方1张卡牌受到25-50点伤害	1	1	0	3	25	50	0	0
3	101	火墙	assets/effects/huoqiu.fam	使敌方3张卡牌受到25-50点伤害	1	1	0	5	25	50	0	0
4	101	烈焰风暴	assets/effects/huoqiu.fam	使敌方所有卡牌受到25-50点伤害	1	1	0	8	25	50	0	0
5	100	落雷	assets/effects/shandian.fam	使敌方1张卡牌受到50点伤害,45%概率无法物理攻击	1	1	0	3	25	45	0	2
6	100	连环闪电	assets/effects/shandian.fam	使敌方3张卡牌受到50点伤害,40%概率无法物理攻击	1	1	0	5	25	40	0	2
7	100	雷暴	assets/effects/shandian.fam	使敌方所有卡牌受到50点伤害,35%概率无法物理攻击	1	1	0	8	25	35	0	2
8	100	冰弹	assets/effects/bingjian.fam	使敌方1张卡牌受到80点伤害,并有45%概率丧失下一回合行动	1	1	0	3	20	45	0	1
9	100	霜冻新星	assets/effects/bingjian.fam	使敌方3张卡牌受到40点伤害,并有35%概率丧失下一回合行动	1	1	0	5	20	40	0	1
10	100	暴风雪	assets/effects/bingjian.fam	使敌方所有卡牌受到120点伤害,并有30%概率丧失下一回合行动	1	1	0	8	20	35	0	1
11	100	毒液	assets/effects/duwu.fam	使敌方1张卡牌受到40点伤害,并在其行动结束后受到40点伤害	1	0	0	3	20	100	0	3
12	100	毒雾	assets/effects/duwu.fam	使敌方3张卡牌受到40点伤害,并在其行动结束后受到40点伤害	1	0	0	5	20	100	0	3
13	102	血炼	assets/effects/xuelian.fam	使敌方1张卡牌受到100点伤害,并且使自身恢复相同的生命值	1	1	0	3	20	0	0	0
14	100	陷阱1	assets/effects/xianjin.fam	使敌方1张卡牌65%概率丧失下一个行动回合	1	0	0	3	0	65	0	4
15	100	陷阱2	assets/effects/xianjin.fam	使敌方2张卡牌65%概率丧失下一个行动回合	1	0	0	4	0	65	0	4
16	106	诅咒	assets/effects/putonggongji.fam	降低敌方英雄30点生命值	1	0	0	15	30	0	0	0
17	213	削弱	assets/effects/xueruo.fam	当对对方造成物理伤害时，减少对方10点攻击力 	2	0	0	0	10	0	0	0
18	103	群体削弱	assets/effects/xueruo.fam	降低对方所有卡牌5点攻击力	1	0	0	8	5	0	0	0
19	100	烈火焚神	assets/effects/xueruo.fam	给予敌方场上所有卡牌燃烧伤害,使其在每次行动结束后丢失120点生命值	1	1	0	8	0	0	0	5
20	221	疾病	assets/effects/xueruo.fam	当攻击并对目标造成伤害时,对方丧失10点攻击力和生命值 	2	0	0	0	10	0	0	0
21	106	瘟疫	assets/effects/xueruo.fam	使对方所有卡牌丧失10点攻击力和生命值 	1	0	0	8	10	0	0	0
22	100	阻击	assets/effects/zuji.fam	给予敌方当前拥有最少体力的卡牌100点伤害	1	0	0	6	25	0	0	0
23	100	二重阻击	assets/effects/zuji.fam	给予敌方当前拥有最少体力的2张卡牌100点伤害	1	0	0	6	25	0	0	0
24	209	穿刺	assets/effects/chuanci.fam	当对地方卡牌造成伤害时,敌方英雄同时受到15%的伤害	2	0	0	0	15	0	0	0
25	201	暴击	assets/effects/baoji.fam	攻击对方卡牌时有50%几率提升100%的攻击力	2	0	0	1	50	20	0	0
26	212	嗜血	assets/effects/shixue.fam	每次攻击对方造成伤害时，提升10点攻击力  	2	0	0	0	10	0	0	0
